time,val,Day,Hour,delta,eaten,given,eaten_cum_Day,given_cum_Day
2019-07-08 07:47:44,17.0,2019-07-08, 07:47:44,0.0,0.0,0.0,0.0,0.0
2019-07-08 07:53:06,17.0,2019-07-08, 07:53:06,0.0,0.0,0.0,0.0,0.0
2019-07-08 07:58:22,17.0,2019-07-08, 07:58:22,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:03:40,17.0,2019-07-08, 08:03:40,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:08:56,17.0,2019-07-08, 08:08:56,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:14:12,17.0,2019-07-08, 08:14:12,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:19:29,17.0,2019-07-08, 08:19:29,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:24:54,17.0,2019-07-08, 08:24:54,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:30:16,17.0,2019-07-08, 08:30:16,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:35:34,17.0,2019-07-08, 08:35:34,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:40:52,17.0,2019-07-08, 08:40:52,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:46:13,17.0,2019-07-08, 08:46:13,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:51:35,17.0,2019-07-08, 08:51:35,0.0,0.0,0.0,0.0,0.0
2019-07-08 08:56:58,17.0,2019-07-08, 08:56:58,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:02:15,17.0,2019-07-08, 09:02:15,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:07:36,17.0,2019-07-08, 09:07:36,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:12:53,17.0,2019-07-08, 09:12:53,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:18:10,17.0,2019-07-08, 09:18:10,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:23:29,17.0,2019-07-08, 09:23:29,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:28:50,17.0,2019-07-08, 09:28:50,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:34:12,17.0,2019-07-08, 09:34:12,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:39:33,17.0,2019-07-08, 09:39:33,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:44:56,17.0,2019-07-08, 09:44:56,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:50:15,17.0,2019-07-08, 09:50:15,0.0,0.0,0.0,0.0,0.0
2019-07-08 09:55:31,17.0,2019-07-08, 09:55:31,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:00:53,17.0,2019-07-08, 10:00:53,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:06:15,17.0,2019-07-08, 10:06:15,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:11:34,17.0,2019-07-08, 10:11:34,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:16:51,17.0,2019-07-08, 10:16:51,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:22:09,17.0,2019-07-08, 10:22:09,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:27:30,17.0,2019-07-08, 10:27:30,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:32:47,17.0,2019-07-08, 10:32:47,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:38:04,17.0,2019-07-08, 10:38:04,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:43:24,17.0,2019-07-08, 10:43:24,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:48:51,17.0,2019-07-08, 10:48:51,0.0,0.0,0.0,0.0,0.0
2019-07-08 10:54:11,17.0,2019-07-08, 10:54:11,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:04:53,17.0,2019-07-08, 11:04:53,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:10:11,17.0,2019-07-08, 11:10:11,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:15:29,17.0,2019-07-08, 11:15:29,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:20:50,17.0,2019-07-08, 11:20:50,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:26:14,17.0,2019-07-08, 11:26:14,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:31:36,17.0,2019-07-08, 11:31:36,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:36:58,17.0,2019-07-08, 11:36:58,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:42:14,17.0,2019-07-08, 11:42:14,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:47:36,17.0,2019-07-08, 11:47:36,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:52:58,17.0,2019-07-08, 11:52:58,0.0,0.0,0.0,0.0,0.0
2019-07-08 11:58:18,17.0,2019-07-08, 11:58:18,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:03:34,17.0,2019-07-08, 12:03:34,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:08:55,17.0,2019-07-08, 12:08:55,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:14:16,17.0,2019-07-08, 12:14:16,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:19:39,17.0,2019-07-08, 12:19:39,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:24:56,17.0,2019-07-08, 12:24:56,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:30:23,17.0,2019-07-08, 12:30:23,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:35:40,17.0,2019-07-08, 12:35:40,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:40:56,17.0,2019-07-08, 12:40:56,0.0,0.0,0.0,0.0,0.0
2019-07-08 12:46:17,13.0,2019-07-08, 12:46:17,-4.0,4.0,0.0,4.0,0.0
2019-07-08 12:51:38,12.0,2019-07-08, 12:51:38,-1.0,1.0,0.0,5.0,0.0
2019-07-08 12:57:00,12.0,2019-07-08, 12:57:00,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:02:20,12.0,2019-07-08, 13:02:20,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:07:38,12.0,2019-07-08, 13:07:38,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:12:56,12.0,2019-07-08, 13:12:56,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:18:14,12.0,2019-07-08, 13:18:14,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:23:35,12.0,2019-07-08, 13:23:35,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:28:59,12.0,2019-07-08, 13:28:59,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:34:16,12.0,2019-07-08, 13:34:16,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:39:39,12.0,2019-07-08, 13:39:39,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:45:03,12.0,2019-07-08, 13:45:03,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:50:19,12.0,2019-07-08, 13:50:19,0.0,0.0,0.0,5.0,0.0
2019-07-08 13:55:36,12.0,2019-07-08, 13:55:36,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:00:53,12.0,2019-07-08, 14:00:53,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:11:31,12.0,2019-07-08, 14:11:31,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:16:53,12.0,2019-07-08, 14:16:53,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:22:14,12.0,2019-07-08, 14:22:14,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:27:36,12.0,2019-07-08, 14:27:36,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:32:57,12.0,2019-07-08, 14:32:57,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:38:19,12.0,2019-07-08, 14:38:19,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:43:43,12.0,2019-07-08, 14:43:43,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:48:59,12.0,2019-07-08, 14:48:59,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:54:20,12.0,2019-07-08, 14:54:20,0.0,0.0,0.0,5.0,0.0
2019-07-08 14:59:42,12.0,2019-07-08, 14:59:42,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:05:00,12.0,2019-07-08, 15:05:00,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:10:17,12.0,2019-07-08, 15:10:17,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:15:41,12.0,2019-07-08, 15:15:41,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:21:02,12.0,2019-07-08, 15:21:02,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:26:21,12.0,2019-07-08, 15:26:21,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:31:38,12.0,2019-07-08, 15:31:38,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:36:59,12.0,2019-07-08, 15:36:59,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:42:18,12.0,2019-07-08, 15:42:18,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:47:37,12.0,2019-07-08, 15:47:37,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:52:55,12.0,2019-07-08, 15:52:55,0.0,0.0,0.0,5.0,0.0
2019-07-08 15:58:18,12.0,2019-07-08, 15:58:18,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:03:37,12.0,2019-07-08, 16:03:37,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:08:59,12.0,2019-07-08, 16:08:59,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:14:19,12.0,2019-07-08, 16:14:19,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:19:41,12.0,2019-07-08, 16:19:41,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:25:04,12.0,2019-07-08, 16:25:04,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:30:24,12.0,2019-07-08, 16:30:24,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:35:45,12.0,2019-07-08, 16:35:45,0.0,0.0,0.0,5.0,0.0
2019-07-08 16:41:02,7.0,2019-07-08, 16:41:02,-5.0,5.0,0.0,10.0,0.0
2019-07-08 16:46:20,7.0,2019-07-08, 16:46:20,0.0,0.0,0.0,10.0,0.0
2019-07-08 16:51:48,7.0,2019-07-08, 16:51:48,0.0,0.0,0.0,10.0,0.0
2019-07-08 16:57:05,7.0,2019-07-08, 16:57:05,0.0,0.0,0.0,10.0,0.0
2019-07-08 17:02:22,36.0,2019-07-08, 17:02:22,29.0,0.0,29.0,10.0,29.0
2019-07-08 17:07:41,31.0,2019-07-08, 17:07:41,-5.0,5.0,0.0,15.0,29.0
2019-07-08 17:12:56,31.0,2019-07-08, 17:12:56,0.0,0.0,0.0,15.0,29.0
2019-07-08 17:18:14,31.0,2019-07-08, 17:18:14,0.0,0.0,0.0,15.0,29.0
2019-07-08 17:23:31,31.0,2019-07-08, 17:23:31,0.0,0.0,0.0,15.0,29.0
2019-07-08 17:28:47,31.0,2019-07-08, 17:28:47,0.0,0.0,0.0,15.0,29.0
2019-07-08 17:34:03,29.0,2019-07-08, 17:34:03,-2.0,2.0,0.0,17.0,29.0
2019-07-08 17:39:20,26.0,2019-07-08, 17:39:20,-3.0,3.0,0.0,20.0,29.0
2019-07-08 17:44:41,26.0,2019-07-08, 17:44:41,0.0,0.0,0.0,20.0,29.0
2019-07-08 17:50:00,19.0,2019-07-08, 17:50:00,-7.0,7.0,0.0,27.0,29.0
2019-07-08 17:55:18,19.0,2019-07-08, 17:55:18,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:00:39,19.0,2019-07-08, 18:00:39,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:06:00,19.0,2019-07-08, 18:06:00,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:11:17,19.0,2019-07-08, 18:11:17,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:16:36,19.0,2019-07-08, 18:16:36,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:21:54,19.0,2019-07-08, 18:21:54,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:27:13,19.0,2019-07-08, 18:27:13,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:32:32,19.0,2019-07-08, 18:32:32,0.0,0.0,0.0,27.0,29.0
2019-07-08 18:37:54,19.0,2019-07-08, 18:37:54,0.0,0.0,0.0,27.0,29.0
